Unnamed: 0,小区名字,总价,户型,建筑面积,单价,朝向,楼层,装修,区域,楼房结构,房源发布时间
614,雅砻阳光花园,95万,3室2厅1卫, 114.11平米 ,8326元/平米,东南,低楼层,毛坯,温江区, 塔楼, 10个月前
615,新鸿基悦城,274万,3室2厅1卫, 142.19平米 ,19270元/平米,南,低楼层,精装,天府新区, 板塔结合, 11个月前
616,十二桥路16号附2号,68万,1室0厅1卫, 30.3平米 ,22443元/平米,西南,低楼层,简装,青羊区, 板楼, 15天前
617,绿地新城新里桃溪川,145万,3室2厅1卫, 134.69平米 ,10766元/平米,西南,低楼层,精装,龙泉驿区, 板楼, 7个月前
618,恋日家园G区,112万,3室1厅1卫, 123.91平米 ,9039元/平米,东北,中楼层,简装,成华区, 板楼, 7个月前
619,世家东部时空,148万,3室2厅1卫, 92.3平米 ,16035元/平米,南,高楼层,精装,成华区, 塔楼, 1年前
620,华润置地理想之城,77万,3室2厅1卫, 113.63平米 ,6777元/平米,南,高楼层,其他,彭州市, 塔楼, 1个月前
621,锦橙,77万,2室2厅1卫, 71.06平米 ,10836元/平米,东南,高楼层,精装,龙泉驿区, 塔楼, 1年前
622,百吉街52号,86万,2室2厅4卫, 77.19平米 ,11077元/平米,东南,中楼层,其他,武侯区, 板楼, 1个月前
623,双楠忆景,198万,3室1厅2卫, 88.63平米 ,22341元/平米,东,中楼层,精装,武侯区, 板塔结合, 20天前
624,西财学府尚郡,113万,4室2厅1卫, 127.15平米 ,8888元/平米,南,中楼层,毛坯,温江区, 板楼, 5个月前
625,河畔新世界,198万,3室2厅1卫, 139.59平米 ,14185元/平米,西南,中楼层,精装,天府新区, 塔楼, 5个月前
626,西财学府尚郡,170万,4室2厅1卫, 158.74平米 ,10710元/平米,东南,中楼层,精装,温江区, 板楼, 2个月前
627,交大卡布里城,43万,1室1厅1卫, 50.99平米 ,8434元/平米,东南,中楼层,简装,郫都区, 板塔结合, 11个月前
628,珑熙郡,242万,3室2厅1卫, 86.55平米 ,27961元/平米,东南,中楼层,精装,新武侯区, 塔楼, 1个月前
629,华汇天地,140万,3室2厅5卫, 92.75平米 ,15095元/平米,南,高楼层,其他,双流区, 板塔结合, 9个月前
630,西财学府尚郡,140万,4室2厅1卫, 166.18平米 ,8425元/平米,东南,低楼层,毛坯,温江区, 板楼, 29天前
631,西财学府尚郡,120万,4室1厅1卫, 127.38平米 ,9421元/平米,东南,中楼层,精装,温江区, 板楼, 5个月前
632,西财学府尚郡,103万,4室1厅1卫, 126.7平米 ,8130元/平米,东南,低楼层,毛坯,温江区, 板楼, 7个月前
633,梧桐苑,74万,2室2厅1卫, 68.1平米 ,10867元/平米,南,高楼层,简装,高新区, 板楼, 1年前
634,西岸观邸,168万,3室1厅1卫, 92.87平米 ,18090元/平米,东南,高楼层,精装,金牛区, 板塔结合, 2个月前
635,电建洺悦府,270万,3室2厅2卫, 127.87平米 ,21116元/平米,西南,中楼层,简装,金牛区, 塔楼, 1个月前
636,府河音乐花园,137万,3室2厅1卫, 125.38平米 ,10927元/平米,北南,高楼层,精装,天府新区, 板塔结合, 3个月前
637,河畔新世界,140万,2室2厅1卫, 94.46平米 ,14822元/平米,西南,低楼层,精装,天府新区, 塔楼, 6个月前
638,锦辰佳苑,98万,2室1厅1卫, 52.84平米 ,18547元/平米,西,中楼层,精装,高新区, 塔楼, 8个月前
639,锦绣街7号,78万,2室1厅1卫, 69平米 ,11276元/平米,南,高楼层,毛坯,武侯区, 板楼, 6个月前
640,堰山和畔4期,90万,3室1厅1卫, 120.13平米 ,7484元/平米,东南,低楼层,精装,都江堰市, 塔楼, 2个月前
641,万科理想城二期·树院,138万,3室2厅1卫, 85.22平米 ,16194元/平米,西南,高楼层,精装,郫都区, 板塔结合, 7个月前
642,天府世家,615万,5室2厅1卫, 137.18平米 ,44832元/平米,东南,中楼层,精装,高新区, 板塔结合, 4个月前
643,洲际亚洲湾A区,149万,4室2厅1卫, 121.17平米 ,12297元/平米,南,中楼层,精装,温江区, 板塔结合, 1年前
644,一里阳光,75万,3室1厅1卫, 83.04平米 ,9032元/平米,西南,中楼层,其他,郫都区, 塔楼, 7个月前
645,湖滨路123号,52万,3室2厅1卫, 119.5平米 ,4352元/平米,南,低楼层,简装,新都区, 暂无数据, 1年前
646,人居悦云庭,210万,4室1厅1卫, 160.78平米 ,13062元/平米,东南,中楼层,毛坯,新都区, 塔楼, 8个月前
647,万鸿城市花园,49万,2室1厅1卫, 69.45平米 ,7027元/平米,东南,低楼层,简装,龙泉驿区, 板塔结合, 5个月前
648,远大林语城,249万,4室1厅2卫, 143.01平米 ,17412元/平米,南,中楼层,毛坯,双流区, 板楼, 1个月前
649,边城香格里,140万,3室1厅1卫, 117.39平米 ,11927元/平米,东南,中楼层,精装,温江区, 板塔结合, 25天前
650,王家塘街95号,95万,2室1厅1卫, 53.18平米 ,17864元/平米,东南,中楼层,毛坯,青羊区, 板楼, 28天前
651,为民新居,132万,3室1厅2卫, 95.04平米 ,13889元/平米,东,高楼层,简装,金牛区, 塔楼, 2个月前
652,华润公园九里,130万,3室2厅2卫, 94.47平米 ,13761元/平米,北,低楼层,简装,双流区, 板塔结合, 6个月前
653,蜀都新城,83万,3室2厅1卫, 127.93平米 ,6488元/平米,南,中楼层,简装,郫都区, 板楼, 1年前
654,盛世年华,152万,3室2厅1卫, 103.45平米 ,14694元/平米,东,低楼层,简装,青羊区, 塔楼, 10个月前
655,万科理想城四期未来城,174万,4室2厅3卫, 115.81平米 ,15008元/平米,西南,低楼层,精装,郫都区, 板塔结合, 6个月前
656,乐视界广场,149万,4室2厅2卫, 124.98平米 ,11922元/平米,西北,高楼层,精装,郫都区, 板塔结合, 1年前
657,芙华新大陆,70万,1室1厅2卫, 55.28平米 ,12627元/平米,东北,低楼层,精装,成华区, 塔楼, 2个月前
658,上东壹号丽景苑,138万,3室1厅2卫, 86.31平米 ,15989元/平米,南,中楼层,精装,成华区, 板塔结合, 5个月前
659,欣盛家园,125万,3室2厅3卫, 130.93平米 ,9548元/平米,西北,低楼层,精装,温江区, 板楼, 7个月前
660,青华路22号,110万,3室2厅1卫, 71.72平米 ,15338元/平米,南,高楼层,精装,青羊区, 板楼, 7个月前
661,清江美庐,87万,2室1厅1卫, 59.99平米 ,14420元/平米,东南,中楼层,精装,青羊区, 塔楼, 1个月前
662,五医院家属院,37万,2室1厅2卫, 66.98平米 ,5495元/平米,东南,低楼层,简装,温江区, 暂无数据, 6个月前
663,红湖公园城,63万,2室2厅1卫, 72.96平米 ,8608元/平米,东南,高楼层,精装,新都区, 板塔结合, 5个月前
664,蓝光公园华府,189万,4室2厅1卫, 123.15平米 ,15348元/平米,南,中楼层,其他,龙泉驿区, 板塔结合, 14天前
665,富力桃园B区,86万,3室2厅1卫, 96.96平米 ,8870元/平米,东南,低楼层,毛坯,新都区, 板塔结合, 1年前
666,佳兆业威登郡,105万,2室2厅2卫, 79.49平米 ,13210元/平米,西,中楼层,精装,双流区, 板塔结合, 4个月前
667,招商雍华府二期,198万,3室2厅2卫, 95.84平米 ,20660元/平米,西南,高楼层,精装,成华区, 板塔结合, 18天前
668,恒大天府半岛三期,245万,4室2厅2卫, 154.84平米 ,15823元/平米,南北,高楼层,精装,天府新区, 板楼, 10个月前
669,恒大天府半岛三期,200万,4室2厅1卫, 137.15平米 ,14583元/平米,南,高楼层,精装,天府新区, 板塔结合, 1年前
670,棠湖泊林镇,93万,3室2厅1卫, 79.36平米 ,11719元/平米,西,中楼层,简装,双流区, 板楼, 1年前
671,望江锦园,195万,3室2厅1卫, 111.9平米 ,17427元/平米,西南,高楼层,简装,锦江区, 塔楼, 7个月前
672,云翔远景,170万,3室2厅2卫, 109.1平米 ,15583元/平米,西南,中楼层,简装,武侯区, 板楼, 6个月前
673,盛世年华,72万,2室1厅1卫, 50.01平米 ,14398元/平米,南,中楼层,简装,青羊区, 板楼, 1年前
674,鹏发·绿岛,58万,3室1厅2卫, 89.4平米 ,6488元/平米,东南,中楼层,精装,新都区, 塔楼, 3个月前
675,万鸿城市花园,89万,3室1厅1卫, 117.41平米 ,7564元/平米,东南,低楼层,简装,龙泉驿区, 板塔结合, 25天前
676,天府滨河湾,175万,4室2厅1卫, 118平米 ,14831元/平米,东南,中楼层,精装,天府新区, 塔楼, 2个月前
677,四海逸家二期,365万,4室1厅1卫, 97.3平米 ,37513元/平米,东南,中楼层,精装,锦江区, 塔楼, 3个月前
678,红馆,200万,3室2厅1卫, 127.01平米 ,15747元/平米,东南,中楼层,简装,武侯区, 板塔结合, 5个月前
679,朋城远界,66万,3室2厅1卫, 84.74平米 ,7789元/平米,东南,中楼层,其他,彭州市, 塔楼, 20天前
680,花果新居一期,67万,1室1厅1卫, 55.36平米 ,12103元/平米,东南,中楼层,毛坯,锦江区, 板楼, 13天前
681,牡丹御园,165万,3室1厅1卫, 118.62平米 ,13910元/平米,南,中楼层,精装,高新区, 板塔结合, 5个月前
682,金科集美学府,225万,4室2厅1卫, 134.01平米 ,16790元/平米,东南,中楼层,毛坯,双流区, 塔楼, 5个月前
683,金山御景蓝湾,56万,3室1厅1卫, 100平米 ,5600元/平米,东南,低楼层,毛坯,龙泉驿区, 板楼, 7个月前
684,毕生路57号,75万,4室2厅1卫, 167.02平米 ,4491元/平米,南北,中楼层,其他,新都区, 板楼, 10个月前
685,棉花沱社区,48万,3室2厅1卫, 106.75平米 ,4497元/平米,东南,高楼层,其他,新津区, 暂无数据, 1个月前
686,锦城南府,403万,3室1厅1卫, 136.85平米 ,29449元/平米,西,中楼层,精装,高新区, 塔楼, 1个月前
687,锦绣西苑二期,55万,2室2厅1卫, 87.26平米 ,6304元/平米,东南,高楼层,简装,郫都区, 板楼, 1年前
688,金山苑,119万,2室2厅1卫, 76.11平米 ,15636元/平米,东南,高楼层,简装,成华区, 塔楼, 1个月前
689,上风瑞庭,118万,3室2厅1卫, 118.15平米 ,9988元/平米,南,中楼层,毛坯,温江区, 板塔结合, 1个月前
690,恒大天府半岛二期,260万,4室2厅1卫, 186.47平米 ,13944元/平米,东南,低楼层,精装,天府新区, 板楼, 6个月前
691,千禧河畔C区,149万,3室2厅1卫, 86.94平米 ,17139元/平米,东,低楼层,精装,新都区, 板塔结合, 1个月前
692,华润二十四城七期,276万,3室1厅1卫, 100.85平米 ,27368元/平米,西,低楼层,简装,成华区, 板塔结合, 1年前
693,恒大上林苑,63万,3室1厅1卫, 114.2平米 ,5517元/平米,南,高楼层,简装,新都区, 板塔结合, 1个月前
694,蓝光幸福满庭,105万,3室1厅1卫, 82.33平米 ,12754元/平米,西北,中楼层,简装,郫都区, 板塔结合, 1年前
695,四海逸家二期,365万,4室1厅1卫, 97.3平米 ,37513元/平米,东南,中楼层,精装,锦江区, 塔楼, 3个月前
696,美好时光,118万,2室2厅2卫, 83.91平米 ,14063元/平米,西北,低楼层,简装,武侯区, 板楼, 21天前
697,果壳里的城,108万,3室1厅1卫, 87.92平米 ,12284元/平米,东南,高楼层,毛坯,龙泉驿区, 塔楼, 6个月前
698,滨江两岸二期,155万,4室2厅1卫, 107.57平米 ,14410元/平米,东北,高楼层,精装,郫都区, 暂无数据, 1年前
699,花样年花样城,35万,1室1厅3卫, 42.42平米 ,8251元/平米,南,中楼层,简装,温江区, 板塔结合, 1年前
700,华侨城东岸一期,465万,4室2厅1卫, 169.24平米 ,27476元/平米,西,低楼层,毛坯,金牛区, 板楼, 1年前
701,中国铁建北湖国际城二期,145万,3室2厅1卫, 91平米 ,15935元/平米,东南,中楼层,精装,成华区, 板塔结合, 2个月前
702,金科一城,93万,2室2厅1卫, 67.76平米 ,13725元/平米,西,高楼层,简装,成华区, 塔楼, 1年前
703,荣盛香榭兰庭一期,146万,3室1厅3卫, 75.78平米 ,19267元/平米,西南,高楼层,精装,成华区, 塔楼, 5个月前
704,果壳里的城,138万,3室1厅1卫, 89.51平米 ,15418元/平米,南北,高楼层,其他,龙泉驿区, 塔楼, 23天前
705,明新国际新城,80万,3室2厅1卫, 115.84平米 ,6907元/平米,东,中楼层,简装,新都区, 板塔结合, 4个月前
706,蓝润华府春天,95万,3室2厅1卫, 75.71平米 ,12548元/平米,南,高楼层,简装,双流区, 板塔结合, 15天前
707,雅居乐剑桥郡,65万,1室1厅1卫, 59.23平米 ,10975元/平米,西南,低楼层,精装,双流区, 板塔结合, 4个月前
708,明星花苑,70万,3室2厅1卫, 136.77平米 ,5104元/平米,东南,高楼层,简装,龙泉驿区, 板楼, 4个月前
709,汇智栖岸名居,95万,3室1厅1卫, 78.68平米 ,12075元/平米,东,低楼层,精装,温江区, 塔楼, 16天前
710,雄飞北尚广场,94万,3室2厅1卫, 89.27平米 ,10530元/平米,南,中楼层,精装,新都区, 塔楼, 21天前
711,皇经楼新居二期B区,53万,1室1厅2卫, 53.75平米 ,9861元/平米,西,高楼层,其他,锦江区, 板楼, 17天前
712,川大河畔,105万,3室2厅1卫, 105.59平米 ,9945元/平米,南北,中楼层,简装,双流区, 板塔结合, 1年前
713,上风瑞庭,118万,3室2厅1卫, 118.15平米 ,9988元/平米,南,中楼层,毛坯,温江区, 板塔结合, 1个月前
714,保利狮子湖檀香郡,129万,3室2厅1卫, 121.93平米 ,10580元/平米,南北,中楼层,精装,新都区, 暂无数据, 2个月前
715,英郡三期,220万,3室1厅1卫, 108.83平米 ,20216元/平米,东南,低楼层,精装,高新区, 塔楼, 21天前
716,温哥华花园,129万,3室1厅2卫, 130.92平米 ,9854元/平米,南北,中楼层,精装,双流区, 塔楼, 5个月前
717,锦绣西苑二期,55万,2室2厅1卫, 87.26平米 ,6304元/平米,东南,高楼层,简装,郫都区, 板楼, 1年前
718,双玺,160万,2室1厅1卫, 77.16平米 ,20737元/平米,南,低楼层,简装,青羊区, 板塔结合, 5个月前
719,棉花沱社区,48万,3室2厅1卫, 106.75平米 ,4497元/平米,东南,高楼层,其他,新津区, 暂无数据, 1个月前
720,恒大上林苑,63万,3室1厅2卫, 114.2平米 ,5517元/平米,南,高楼层,简装,新都区, 板塔结合, 1个月前
721,金山御景蓝湾,56万,3室1厅1卫, 100平米 ,5600元/平米,东南,低楼层,毛坯,龙泉驿区, 板楼, 7个月前
722,万达华府B区,110万,4室2厅1卫, 99.67平米 ,11037元/平米,东北,低楼层,精装,郫都区, 板塔结合, 2个月前
723,东立国际广场,149万,3室2厅1卫, 112.46平米 ,13250元/平米,西南,高楼层,精装,成华区, 板塔结合, 8个月前
724,金山苑,119万,2室2厅1卫, 76.11平米 ,15636元/平米,东南,高楼层,简装,成华区, 塔楼, 1个月前
725,昊园江南壹品,65万,3室2厅1卫, 82.54平米 ,7875元/平米,南,高楼层,毛坯,龙泉驿区, 板塔结合, 7个月前
726,慧生时代广场,86万,3室1厅1卫, 86.89平米 ,9898元/平米,南,高楼层,精装,龙泉驿区, 板楼, 7个月前
727,果壳里的城,110万,3室2厅1卫, 87.96平米 ,12506元/平米,南,低楼层,简装,龙泉驿区, 塔楼, 6个月前
728,西线阳光,93万,2室2厅1卫, 87.32平米 ,10651元/平米,西北,低楼层,简装,金牛区, 板楼, 7个月前
729,天投东鑫苑云熙,340万,4室2厅1卫, 207.38平米 ,16396元/平米,西北,高楼层,毛坯,天府新区, 板楼, 8个月前
730,怡水居,82万,2室1厅2卫, 84.85平米 ,9665元/平米,东,高楼层,精装,龙泉驿区, 板楼, 17天前
731,龙光玖龙府二期,88万,3室2厅1卫, 99.77平米 ,8821元/平米,东南,中楼层,精装,新津区, 板楼, 1年前
732,毕生路57号,75万,4室2厅1卫, 167.02平米 ,4491元/平米,南北,中楼层,其他,新都区, 板楼, 10个月前
733,水韵天府,146万,3室2厅1卫, 127.42平米 ,11427元/平米,南,低楼层,简装,金牛区, 板楼, 1年前
734,嘉和世纪城,46万,2室2厅2卫, 80.34平米 ,5726元/平米,南,中楼层,毛坯,青白江区, 板塔结合, 10个月前
735,千禧河畔C区,149万,3室2厅1卫, 86.94平米 ,17139元/平米,东,低楼层,精装,新都区, 板塔结合, 1个月前
736,棉花沱社区,48万,3室2厅1卫, 106.75平米 ,4497元/平米,东南,高楼层,其他,新津区, 暂无数据, 1个月前
737,锦城南府,403万,3室1厅1卫, 136.85平米 ,29449元/平米,西,中楼层,精装,高新区, 塔楼, 1个月前
738,恒大上林苑,63万,3室1厅2卫, 114.2平米 ,5517元/平米,南,高楼层,简装,新都区, 板塔结合, 1个月前
739,南湖国际社区,239万,4室2厅1卫, 155.94平米 ,15327元/平米,东,低楼层,精装,双流区, 板塔结合, 3个月前
740,保利西子城,110万,3室2厅1卫, 107.7平米 ,10214元/平米,西北,中楼层,毛坯,温江区, 板塔结合, 1年前
741,紫御熙庭,228万,3室2厅1卫, 97.56平米 ,23371元/平米,东,低楼层,简装,青羊区, 板塔结合, 4个月前
742,两河锦地,65万,2室1厅1卫, 72.5平米 ,8966元/平米,东南,低楼层,简装,金牛区, 板楼, 1年前
743,双玺,160万,2室1厅1卫, 77.16平米 ,20737元/平米,南,低楼层,简装,青羊区, 板塔结合, 5个月前
744,朋城远界,66万,3室2厅1卫, 84.74平米 ,7789元/平米,东南,中楼层,其他,彭州市, 塔楼, 20天前
745,金科集美学府,225万,4室2厅1卫, 134.01平米 ,16790元/平米,东南,中楼层,毛坯,双流区, 塔楼, 5个月前
746,花果新居一期,67万,1室1厅1卫, 55.36平米 ,12103元/平米,东南,中楼层,毛坯,锦江区, 板楼, 13天前
747,牡丹御园,165万,3室1厅1卫, 118.62平米 ,13910元/平米,南,中楼层,精装,高新区, 板塔结合, 5个月前
748,金山御景蓝湾,76万,3室1厅1卫, 116.25平米 ,6538元/平米,东南,低楼层,其他,龙泉驿区, 板楼, 20天前
749,恒雨后现代城,95万,3室2厅1卫, 118.26平米 ,8034元/平米,西,中楼层,简装,龙泉驿区, 暂无数据, 3个月前
750,红湖公园城,74万,3室2厅2卫, 92.3平米 ,8018元/平米,南,高楼层,精装,新都区, 板塔结合, 1年前
751,雄飞生活广场,78万,2室1厅1卫, 80.47平米 ,9694元/平米,西,高楼层,简装,龙泉驿区, 板塔结合, 1年前
752,金沙愉景二期,220万,4室2厅1卫, 128.57平米 ,17112元/平米,西北,高楼层,精装,青羊区, 板塔结合, 2个月前
753,圣采泊尚,105万,3室1厅1卫, 80.35平米 ,13068元/平米,东,高楼层,其他,新都区, 板塔结合, 3个月前
754,华润二十四城七期,276万,3室1厅2卫, 100.85平米 ,27368元/平米,西,低楼层,简装,成华区, 板塔结合, 1年前
755,万科城,100万,3室2厅1卫, 79.44平米 ,12589元/平米,东北,低楼层,精装,郫都区, 塔楼, 1年前
756,紫御熙庭,228万,3室2厅1卫, 97.56平米 ,23371元/平米,东,低楼层,简装,青羊区, 板塔结合, 4个月前
757,南湖国际社区,239万,4室2厅2卫, 155.94平米 ,15327元/平米,东,低楼层,精装,双流区, 板塔结合, 3个月前
758,两河锦地,65万,2室1厅1卫, 72.5平米 ,8966元/平米,东南,低楼层,简装,金牛区, 板楼, 1年前
759,欧美苑,48万,1室1厅1卫, 51.88平米 ,9253元/平米,东南,高楼层,简装,金牛区, 板楼, 9个月前
760,雅居乐花园,115万,3室1厅2卫, 123.02平米 ,9349元/平米,东北,低楼层,精装,双流区, 板塔结合, 2个月前
761,万家和新城花园,169万,4室2厅1卫, 196.19平米 ,8615元/平米,东南,中楼层,精装,新都区, 板楼, 5个月前
762,千禧河畔C区,149万,3室2厅1卫, 86.94平米 ,17139元/平米,东,低楼层,精装,新都区, 板塔结合, 1个月前
763,锦城南府,403万,3室1厅1卫, 136.85平米 ,29449元/平米,西,中楼层,精装,高新区, 塔楼, 1个月前
764,万达华府B区,110万,4室2厅1卫, 99.67平米 ,11037元/平米,东北,低楼层,精装,郫都区, 板塔结合, 2个月前
765,千和沁香华庭,159万,3室1厅1卫, 116.97平米 ,13594元/平米,东西,中楼层,精装,青羊区, 板楼, 3个月前
766,西安路小区,53万,2室1厅1卫, 71平米 ,7465元/平米,东,高楼层,精装,双流区, 板塔结合, 5个月前
767,五医院家属院,37万,2室1厅1卫, 66.98平米 ,5495元/平米,东南,低楼层,简装,温江区, 暂无数据, 6个月前
768,清江美庐,87万,2室1厅1卫, 59.99平米 ,14420元/平米,东南,中楼层,精装,青羊区, 塔楼, 1个月前
769,青华路22号,110万,3室2厅1卫, 71.72平米 ,15338元/平米,南,高楼层,精装,青羊区, 板楼, 7个月前
770,西西学府里（二期）,143万,2室1厅1卫, 88.98平米 ,16072元/平米,东北,高楼层,精装,金牛区, 板塔结合, 11个月前
771,蓝光公园华府,189万,4室2厅1卫, 123.15平米 ,15348元/平米,南,中楼层,其他,龙泉驿区, 板塔结合, 14天前
772,金巴黎,49万,3室2厅2卫, 81.99平米 ,5977元/平米,西南,低楼层,精装,龙泉驿区, 板塔结合, 5个月前
773,驷马康城,99万,2室2厅3卫, 78.68平米 ,12583元/平米,南,中楼层,精装,成华区, 板塔结合, 5个月前
774,保利公园198蔷薇郡,110万,4室2厅2卫, 130.55平米 ,8426元/平米,南,中楼层,毛坯,新都区, 塔楼, 10个月前
775,华宇广场,137万,2室1厅1卫, 69平米 ,19856元/平米,东北,高楼层,简装,锦江区, 塔楼, 11个月前
776,天旭逸城,78万,4室2厅1卫, 140.53平米 ,5551元/平米,西南,中楼层,毛坯,新都区, 暂无数据, 9个月前
777,省气象局宿舍,178万,4室2厅1卫, 141.21平米 ,12606元/平米,南,低楼层,简装,青羊区, 板楼, 24天前
778,芙华金色海伦,150万,5室2厅1卫, 121.05平米 ,12392元/平米,西南,低楼层,简装,郫都区, 板楼, 3个月前
779,益州蓉苑,298万,4室2厅1卫, 165.78平米 ,17976元/平米,东南,高楼层,毛坯,金牛区, 板楼, 3个月前
780,莲花新区,246万,4室1厅2卫, 137.24平米 ,17925元/平米,东北,低楼层,简装,双流区, 板楼, 3个月前
781,半岛云著,90万,4室2厅1卫, 129.15平米 ,6969元/平米,东南,中楼层,毛坯,新都区, 板楼, 1年前
782,御源大湖区,130万,3室1厅1卫, 120.94平米 ,10741元/平米,南,低楼层,精装,龙泉驿区, 塔楼, 11个月前
783,中铁丽景书香,90万,3室2厅1卫, 87.14平米 ,10329元/平米,东北,中楼层,毛坯,温江区, 板塔结合, 4个月前
784,天来汇景,124万,3室2厅2卫, 88.22平米 ,14000元/平米,西北,高楼层,精装,温江区, 板塔结合, 9个月前
785,天投东鑫苑云熙,340万,4室2厅1卫, 207.38平米 ,16396元/平米,西北,高楼层,毛坯,天府新区, 板楼, 8个月前
786,柳河苑,64万,3室2厅1卫, 89.11平米 ,7183元/平米,西南,中楼层,简装,温江区, 板塔结合, 26天前
787,东环路38号,33万,2室2厅3卫, 87.97平米 ,3752元/平米,南,高楼层,简装,新都区, 板塔结合, 1个月前
788,航天大院,36万,2室1厅3卫, 62.4平米 ,5770元/平米,北,高楼层,其他,温江区, 板楼, 7个月前
789,西线阳光,93万,2室2厅2卫, 87.32平米 ,10651元/平米,西北,低楼层,简装,金牛区, 板楼, 7个月前
790,棕北国际,60万,1室0厅1卫, 36.24平米 ,16557元/平米,南,中楼层,其他,武侯区, 塔楼, 1年前
791,昊园江南壹品,68万,3室1厅1卫, 76.39平米 ,8902元/平米,东,高楼层,精装,龙泉驿区, 塔楼, 27天前
792,香域中央,75万,2室2厅1卫, 86.6平米 ,8661元/平米,东南,低楼层,精装,新都区, 塔楼, 25天前
793,百仁安盛,160万,3室2厅1卫, 136.95平米 ,11684元/平米,西北,低楼层,简装,金牛区, 板楼, 21天前
794,驿都城,105万,3室2厅1卫, 79.53平米 ,13203元/平米,东南,中楼层,简装,龙泉驿区, 塔楼, 5个月前
795,橙郡一期,209万,4室2厅1卫, 156.56平米 ,13350元/平米,东南,中楼层,毛坯,金牛区, 板楼, 5个月前
796,金恒德时代金悦,145万,4室2厅1卫, 103.81平米 ,13968元/平米,西南,低楼层,精装,温江区, 板塔结合, 4个月前
797,恒大西锦城,145万,2室2厅1卫, 87.22平米 ,16625元/平米,西南,低楼层,精装,金牛区, 塔楼, 5个月前
798,万科理想城四期未来城,174万,4室2厅1卫, 115.81平米 ,15008元/平米,西南,低楼层,精装,郫都区, 板塔结合, 6个月前
799,万科理想城二期·树院,138万,3室2厅3卫, 85.22平米 ,16194元/平米,西南,高楼层,精装,郫都区, 板塔结合, 7个月前
800,天府世家,615万,5室2厅1卫, 137.18平米 ,44832元/平米,东南,中楼层,精装,高新区, 板塔结合, 4个月前
801,盛世年华,152万,3室2厅1卫, 103.45平米 ,14694元/平米,东,低楼层,简装,青羊区, 塔楼, 10个月前
802,蜀都新城,83万,3室2厅1卫, 127.93平米 ,6488元/平米,南,中楼层,简装,郫都区, 板楼, 1年前
803,新鸿基悦城,274万,3室2厅2卫, 142.19平米 ,19270元/平米,南,低楼层,精装,天府新区, 板塔结合, 11个月前
804,绿地新城新里桃溪川,145万,3室2厅2卫, 134.69平米 ,10766元/平米,西南,低楼层,精装,龙泉驿区, 板楼, 7个月前
805,堰山和畔4期,90万,3室1厅1卫, 120.13平米 ,7484元/平米,东南,低楼层,精装,都江堰市, 塔楼, 2个月前
806,锦辰佳苑,98万,2室1厅1卫, 52.84平米 ,18547元/平米,西,中楼层,精装,高新区, 塔楼, 8个月前
807,水岸天城,90万,3室2厅1卫, 121.71平米 ,7379元/平米,西北,高楼层,精装,郫都区, 板楼, 11个月前
808,花样年美岸,245万,3室2厅1卫, 87.61平米 ,27965元/平米,北,中楼层,精装,高新区, 板塔结合, 5个月前
809,成都建筑材料工业设计研究院,125万,3室1厅1卫, 100.18平米 ,12458元/平米,南,中楼层,其他,成华区, 暂无数据, 4个月前
810,悦龙山,123万,3室1厅1卫, 88.52平米 ,13896元/平米,西北,中楼层,精装,龙泉驿区, 板塔结合, 7个月前
811,双玺,88万,2室1厅1卫, 48.19平米 ,18262元/平米,南,中楼层,简装,青羊区, 板塔结合, 1年前
812,华润公园九里,130万,3室2厅1卫, 94.47平米 ,13761元/平米,北,低楼层,简装,双流区, 板塔结合, 6个月前
813,天来汇景,124万,3室2厅2卫, 88.22平米 ,14000元/平米,西北,高楼层,精装,温江区, 板塔结合, 9个月前
814,王家塘街95号,95万,2室1厅1卫, 53.18平米 ,17864元/平米,东南,中楼层,毛坯,青羊区, 板楼, 28天前
815,双玺,88万,2室1厅1卫, 48.19平米 ,18262元/平米,南,中楼层,简装,青羊区, 板塔结合, 1年前
816,御源大湖区,130万,3室1厅1卫, 120.94平米 ,10741元/平米,南,低楼层,精装,龙泉驿区, 塔楼, 11个月前
817,电建洺悦府,270万,3室2厅2卫, 127.87平米 ,21116元/平米,西南,中楼层,简装,金牛区, 塔楼, 1个月前
818,河畔新世界,140万,2室2厅1卫, 94.46平米 ,14822元/平米,西南,低楼层,精装,天府新区, 塔楼, 6个月前
819,为民新居,132万,3室1厅1卫, 95.04平米 ,13889元/平米,东,高楼层,简装,金牛区, 塔楼, 2个月前
820,远大林语城,249万,4室1厅1卫, 143.01平米 ,17412元/平米,南,中楼层,毛坯,双流区, 板楼, 1个月前
821,边城香格里,140万,3室1厅1卫, 117.39平米 ,11927元/平米,东南,中楼层,精装,温江区, 板塔结合, 25天前
822,中国铁建国际城,99万,3室2厅1卫, 86.96平米 ,11385元/平米,东西,高楼层,精装,龙泉驿区, 板塔结合, 4个月前
823,远大都市风景四期,138万,3室2厅1卫, 74.3平米 ,18574元/平米,东南,中楼层,精装,高新区, 板塔结合, 3个月前
824,荣盛香堤荣府,146万,3室2厅1卫, 103.97平米 ,14043元/平米,西南,中楼层,精装,新都区, 板楼, 1个月前
825,合能橙中心,82万,3室1厅2卫, 76.71平米 ,10690元/平米,东南,中楼层,毛坯,郫都区, 塔楼, 1年前
826,嘉祥瑞庭南城,246万,3室2厅1卫, 96.7平米 ,25440元/平米,北,高楼层,精装,高新区, 塔楼, 1年前
