Unnamed: 0,小区名字,总价,户型,建筑面积,单价,朝向,楼层,装修,区域,楼房结构,房源发布时间
47,凯德风尚,146万,2室1厅1卫, 89.78平米 ,16262元/平米,南,中楼层,简装,青羊区, 板塔结合, 24天前
48,路桥家园,78万,2室2厅2卫, 78.41平米 ,9948元/平米,南,低楼层,精装,双流区, 板塔结合, 3个月前
49,朗基御香,120万,3室1厅1卫, 76.64平米 ,15658元/平米,南,中楼层,精装,郫都区, 塔楼, 23天前
50,四川省原子能研究院住宅（老）,108万,3室1厅1卫, 102.4平米 ,10547元/平米,东,低楼层,简装,锦江区, 板楼, 9个月前
51,缤纷城,77万,3室1厅1卫, 112.29平米 ,6858元/平米,东,高楼层,简装,新津区, 板塔结合, 26天前
52,佳兆业悦府,88万,4室2厅1卫, 125.24平米 ,7027元/平米,东南,中楼层,毛坯,青白江区, 塔楼, 18天前
53,人居万新峰荟,118万,3室2厅1卫, 102.42平米 ,11522元/平米,东南,中楼层,精装,温江区, 塔楼, 1个月前
54,御源大湖区,98万,3室1厅1卫, 87.5平米 ,11200元/平米,南,中楼层,简装,龙泉驿区, 板楼, 1年前
55,佳兆业悦府,69万,3室1厅1卫, 93.53平米 ,7367元/平米,北,低楼层,精装,青白江区, 塔楼, 3个月前
56,万科锦西润园,198万,3室2厅1卫, 102.59平米 ,19301元/平米,西南,中楼层,精装,金牛区, 板塔结合, 1个月前
57,全鑫苑,32万,1室1厅2卫, 46.36平米 ,6903元/平米,北,中楼层,其他,龙泉驿区, 板楼, 15天前
58,东山国际新城D区,71万,2室2厅1卫, 79.95平米 ,8831元/平米,南,高楼层,精装,龙泉驿区, 板塔结合, 3个月前
59,锦西国际,50万,2室1厅1卫, 34.06平米 ,14680元/平米,北,高楼层,精装,金牛区, 塔楼, 1年前
60,天山名苑,86万,3室1厅1卫, 111.52平米 ,7712元/平米,东南,低楼层,简装,新津区, 板楼, 3个月前
61,奥园公园府邸,208万,3室2厅1卫, 110.2平米 ,18875元/平米,西,低楼层,精装,天府新区, 板塔结合, 11个月前
62,金融街金悦府,99万,3室2厅1卫, 119.26平米 ,8302元/平米,西南,高楼层,简装,新津区, 塔楼, 11个月前
63,蓝光长岛国际二期,186万,4室2厅1卫, 143.71平米 ,12943元/平米,北,中楼层,其他,双流区, 板塔结合, 11个月前
64,康怡城邦,106万,3室1厅1卫, 148.89平米 ,7120元/平米,东南,低楼层,精装,崇州市, 暂无数据, 3个月前
65,南湖半岛,168万,3室2厅1卫, 119.88平米 ,14015元/平米,南北,中楼层,简装,双流区, 塔楼, 11个月前
66,桐梓林7号,180万,2室1厅1卫, 101.28平米 ,17773元/平米,东,低楼层,精装,武侯区, 板楼, 8个月前
